method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,3,3.0,2024-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,288.17466902734685,0.125,,,
Poisson-MDSS,3,3.0,2024-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,314.90880671636256,0.0625,0.25,1.0,0.25
Poisson-MDSS,3,3.0,2024-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,0.0,1.0,,,
Poisson-MDSS,3,3.0,2024-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,29.47792707781744,0.5,0.18181818181818182,0.6666666666666666,0.20000000000000004
moving_average_mdss,2,1.5,2022-Q1,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,135.97974349787097,0.0625,,,
moving_average_mdss,2,1.5,2022-Q1,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,42.57361930643412,0.5,0.16666666666666666,1.0,0.16666666666666666
moving_average_mdss,2,1.5,2022-Q2,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,29.41671168506342,0.9375,,,
moving_average_mdss,2,1.5,2022-Q2,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,190.88893106745104,0.1875,0.15384615384615385,1.0,0.15384615384615385
moving_average_mdss,2,1.5,2022-Q3,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,39.771503322218535,0.625,,,
moving_average_mdss,2,1.5,2022-Q3,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,8.106473741701134,0.875,0.0,0.0,0.0
moving_average_mdss,2,1.5,2022-Q4,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,7.764523619731921,1.0,,,
moving_average_mdss,2,1.5,2022-Q4,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,90.02783541298089,0.125,0.2222222222222222,1.0,0.2222222222222222
moving_average_mdss,2,1.5,2023-Q1,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,259.33987924218343,0.0625,,,
moving_average_mdss,2,1.5,2023-Q1,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,427.86701266246314,0.0625,0.16666666666666666,1.0,0.16666666666666666
moving_average_mdss,2,1.5,2023-Q2,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,0.0,1.0,,,
moving_average_mdss,2,1.5,2023-Q2,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,94.66803961542442,0.5,0.11764705882352941,1.0,0.11764705882352941
moving_average_mdss,2,1.5,2023-Q3,1,clean,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,222.0697543514337,0.125,,,
moving_average_mdss,2,1.5,2023-Q3,1,injected,"{'new_renewal': ['Renewal'], 'leader_status': ['FOLLOW']}",False,364.9210629867955,0.0625,0.2222222222222222,1.0,0.2222222222222222
